,Name,IDO Price
0,Axie Infinity,0.1
1,Illuvium,50.0
2,Yield Guild Games,0.2
3,My Neighbor Alice,0.125
4,Ultra,0.05
5,Alien Worlds,10000000.0
6,Thetan Gem,0.08
7,Mines of Dalarnia,0.075
8,DEAPcoin,0.0025
9,GameFi,1.0
10,GameZone,0.005
11,Gods Unchained,10000000.0
12,Aurory,15.549367
13,DeFi Land,0.005
14,Gold Fever,0.145
15,Cryowar,0.028
16,ChainGuardians,0.12
17,Genopets,0.8
18,Crabada,0.018
19,Blockchain Monster Hunt,0.09
20,UniX Gaming,0.831410494975809
21,Realm,0.03
22,Velhalla,0.001
23,Monsta Infinite,0.2
24,Nakamoto Games,0.18018018018018
25,WonderHero,0.13
26,Bemil,0.01
27,Project SEED,0.025
28,Dark Frontiers,0.05
29,Starpunk,0.023
30,DeFi Warrior,0.0025
31,X World Games,0.091073
32,MyDeFiPet,0.08
33,GunStar Metaverse,0.035
34,Space SIP,0.02
35,Sin City,0.02
36,Dreams Quest,0.012
37,Defina,0.4
38,Wanaka Farm,0.04
39,MyMasterWar,0.12
40,Zuki Moba,0.018
41,PolkaWar,0.15
42,YAY Games,0.011
43,Polker,0.0225
44,Three Kingdoms,0.016
45,Titan Hunters,0.012
46,Aspo World,0.05
47,Crypto Prophecies,0.05
48,Revolve Games,0.1
49,Good Games Guild,0.3
50,DeathRoad,0.006
51,Mist NFT,0.0083
52,Elpis Battle,0.03
53,Kryptomon,0.0066
54,Legends of Crypto,0.036
55,Polygonum Online,0.08
56,Meli Games,0.05
57,Continuum World,0.015
58,DinoX,0.025
59,Moniwar,0.035
60,CryptoDiceHero,0.08
61,Dragon Kart,0.16
62,Mimir Token,0.12
63,Warena,0.165
64,Bitspawn,0.0150000015
65,ProjectOasis,0.2
66,Ethermon,0.1
67,Planet Sandbox,0.125
68,Kawaii Islands,0.03
69,Mech Master,0.04
70,Snook,0.32
71,Step Hero,0.1
72,MoonieNFT,0.0025
73,TryHards,0.09
74,Age of Tanks,0.1
75,Hero Arena,0.1
76,Meta Spatial,0.1
77,Cryptomeda,0.014
78,Demole,0.025
79,Real Realm,0.0125
80,Kaby Arena,0.007
81,Playermon,0.038
82,Lord Arena,0.01
83,Legend of Fantasy War,0.2
84,World of Cryptia,0.04
85,TradeStars,0.16
86,Green Beli,0.008
87,The Killbox,0.0035
88,DoragonLand,0.02
89,Heroverse,0.015
90,RIFI United,0.005
91,Prometheus,0.7
92,GamyFi,1.0
93,Duelist King,1.81433734939759
94,Bunicorn,0.03
95,Forest Knight,0.15
96,Fabwelt,0.01400000028
97,Operon Origins,0.1
98,Ghospers Game,0.01
99,Gamerse,0.012
100,GemGuardian,0.1
101,Monsters Clan,0.15
102,Knight War Spirits,0.035
103,Monopolist,0.0075
104,Ninneko,0.015
105,Arata,1.2
106,HowlCity,0.025
107,Rogue West,0.085
108,OneRare,0.2
109,Kingspeed,0.05
110,Starchi,0.03
111,CryptoTycoon,30.0
112,Soccer Hub,0.015
113,Versus Farm,10000000.0
114,Realm Defenders,0.05
115,FuruKuru,0.0004
116,WIZARD,0.5
117,Yarloo,0.35
118,Cubiex,0.079
119,MetaFish,0.02
120,Moo Monster,0.06
121,PolkaMonster,10000000.0
122,ForceCowBoy,1e-05
123,Medacoin,2e-05
124,Kryxivia,0.015
125,The Dynasty,0.04
126,Heroes TD,0.06
127,PolyPlay,10000000.0
128,Pocoland,0.1
129,The Spartans,0.7
130,CropBytes,0.1
131,Mytheria,0.135
132,Oly Sport,0.06
133,Vodka Token,0.0001
134,Chimeras,0.6
135,Zodium,0.08
136,EON Protocol,10000000.0
137,CATO,0.05
138,Souni,0.145
139,12 Legions,0.025
140,Happy Land,0.07
141,Bit Hotel,0.012
142,Fishing Town,0.05
143,Attack Wagon,0.025
144,Crypto Fight Club,0.02
145,WiDiLand,0.04
146,Epic Meta,0.03
147,ZONE,0.05
148,Atlantis Metaverse,0.12
149,Legends of Elumia,0.05
150,Pocket Arena,0.1
151,Rainmaker Games,0.25
152,DopeWarZ,0.03
153,JokerWar,0.028
154,Space Falcon,0.002
155,CryptoGwent,10000000.0
156,DeHorizon,0.6
157,Zombie World Z,0.016
158,Elfin Kingdom,0.05
159,Guild of Guardians,10000000.0
160,Meland,0.007
161,Domi Online,0.024
162,Spark Era,0.008
163,Solchicks,0.05
164,CyberTrade,0.07
165,BlockchainSpace,0.517154
166,CryptoVsZombie,0.019
167,MetaverseX,2.0
168,Street Runner,0.08
169,Animalia,0.14
170,RaceFi,0.125
171,Zomfi,0.05
172,Spintop,0.01
173,MetaSoccer,0.03
174,CryptoTanks,0.07
175,Last Survivor,0.015
176,Quizarena,0.0128
177,Cornucopias,0.00365
